,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
ham7_104.qasm,149,252,434,0.1211147180001717,0,291,433,0.1591381789994557,0,0,225,424,1.1797987339996325,0,237,420,4.572875606999332,0,16
rd53_135.qasm,134,222,390,0.11888886999986426,0,213,358,0.1572332630003075,0,0,201,359,2.5575001159995736,0,185,357,4.004972352999175,0,16
rd32_270.qasm,36,54,109,0.03859385499981727,0,54,101,0.09941958899980818,0,0,45,99,0.2933015869994051,0,54,106,0.8343069319998904,0,16
cm152a_212.qasm,532,915,1674,0.42568404900066525,0,810,1489,0.5314906920002613,0,0,840,1549,14.145597759000339,0,767,1473,18.43648087099973,0,16
4gt10-v1_81.qasm,66,105,194,0.05086957900039124,0,96,177,0.19507601000077557,0,0,102,188,0.49958183800026745,0,90,185,1.718495095000435,0,16
qft_10.qasm,90,111,172,0.08826945700002398,0,159,181,0.15809762100070657,0,0,114,120,5.889526253999975,0,123,188,1.6126221579997946,0,16
rd32-v0_66.qasm,16,18,42,0.013407832999291713,0,18,40,0.06567771400023048,0,0,18,41,0.030082479999691714,0,14,38,0.18078203500044765,0,16
rd53_251.qasm,564,972,1729,0.5400786889995288,0,906,1631,0.4505050449997725,0,0,843,1578,8.317998474999513,0,1275,1882,24.088373618000332,0,16
qe_qft_4.qasm,27,9,42,0.017254977999982657,0,42,51,0.07717360199967516,0,0,9,45,0.0896450640002513,0,27,56,0.23398188299961475,0,5
alu-v3_35.qasm,18,21,39,0.014841765999335621,0,39,48,0.07183274799990613,0,0,21,43,0.017046308999852045,0,21,43,0.23136829900067823,0,16
squar5_261.qasm,869,1653,2557,0.754898305000097,0,1596,2520,0.8865667089994531,0,0,1584,2562,29.47008907899999,0,2144,2856,42.13305233599931,0,16
4gt4-v0_78.qasm,109,156,320,0.07056170999931055,0,168,314,0.11907713199980208,0,0,144,287,0.8036395689996425,0,155,300,3.013595623000583,0,16
4gt13-v1_93.qasm,30,42,88,0.02653754899984051,0,42,81,0.07283594000000448,0,0,42,86,0.02539779600010661,0,58,102,0.44184550599948125,0,16
4gt4-v0_73.qasm,179,297,527,0.13325762299973576,0,258,484,0.17903031399964675,0,0,288,521,12.014947726000173,0,271,522,5.903779627000404,0,16
one-two-three-v0_97.qasm,128,201,394,0.10680557800060342,0,174,347,0.22428871800002526,0,0,162,344,1.3326120690007883,0,265,413,4.1666952169998694,0,16
rd84_142.qasm,154,306,314,0.1372131480002281,0,288,320,0.15940929900079936,0,0,294,310,24.25356532800015,0,294,338,5.451197321000109,0,16
4mod7-v1_96.qasm,72,120,228,0.08649050900021393,0,126,224,0.11923699599992688,0,0,129,227,0.31266303200027323,0,100,207,2.0170376040005067,0,16
ising_model_16.qasm,150,0,71,0.19966034500066598,0,0,71,0.3884059520005394,0,0,0,71,0.20404054400023597,0,120,151,1.3714521740002965,0,16
4mod5-v1_24.qasm,16,21,41,0.017151252000076056,0,21,41,0.0634342409994133,0,0,21,43,0.09594400000059977,0,30,50,0.24092708099942683,0,16
f2_232.qasm,525,888,1537,0.4381913360002727,0,852,1509,0.40716022000015073,0,0,798,1459,7.849281921000511,0,766,1490,17.572139593999964,0,16
mod5d1_63.qasm,13,15,30,0.011126811999929487,0,15,29,0.06123183399995469,0,0,18,31,0.13955213600002025,0,19,33,0.2480113399997208,0,16
sym9_146.qasm,148,258,330,0.1287196640005277,0,234,358,0.24873553799989168,0,0,231,305,20.95205251599964,0,258,341,5.532331945999431,0,16
alu-v4_36.qasm,51,75,155,0.04087975499987806,0,72,141,0.8368326749996413,0,0,69,144,0.03975504800018825,0,60,135,0.929827593000482,0,16
alu-bdd_288.qasm,38,60,111,0.029888807000133966,0,63,105,0.07514058300057513,0,0,48,101,0.24984799799949542,0,66,112,0.6447620219996679,0,16
4gt11_82.qasm,18,18,37,0.01390510999954131,0,18,36,0.06470068099952186,0,0,18,37,0.016719602000193845,0,18,37,0.20018155599973397,0,16
4gt5_75.qasm,38,60,111,0.03295213999990665,0,48,89,0.07285130599939293,0,0,51,105,0.12912642500032234,0,51,109,0.6037430489996041,0,16
graycode6_47.qasm,5,0,5,0.005376246000196261,0,0,5,0.05184691899921745,0,0,0,5,0.007909203999588499,0,0,5,0.08742420300040976,0,16
alu-v2_33.qasm,17,21,45,0.014557893999153748,0,27,49,0.06972231500003545,0,0,18,42,0.034340154999881634,0,27,47,0.21561901200038847,0,16
alu-v2_32.qasm,72,117,216,0.06837987399921985,0,96,185,0.09919399099999282,0,0,111,208,1.1843781240004319,0,153,233,2.144705527998667,0,16
4gt11_83.qasm,14,15,33,0.016274965999400592,0,15,31,0.08623731899933773,0,0,15,33,0.05568044999927224,0,15,30,0.17719197000042186,0,16
qft_16.qasm,240,303,287,0.24477561700041406,0,378,371,0.45520533899980364,0,0,345,257,45.24608774999979,0,654,539,10.572965720999491,0,16
decod24-v2_43.qasm,22,33,69,0.018533374000980984,0,27,59,0.0634068750005099,0,0,33,68,0.02471353000146337,0,33,69,0.2899488740004017,0,16
cnt3-5_180.qasm,215,396,552,0.16524725599992962,0,390,526,0.20515162499941653,0,0,372,517,10.573810202000459,0,429,530,8.49435370700121,0,16
sqrt8_260.qasm,1314,2553,4123,1.2324524460000248,0,2523,4108,1.2883633010005724,0,0,2445,4047,42.81085429800078,0,3647,4705,71.31416401299975,0,16
4gt13_92.qasm,30,45,85,0.026659569000912597,0,60,90,0.07171625800037873,0,0,42,78,0.07579774399891903,0,59,85,0.46119218899912084,0,16
cnt3-5_179.qasm,85,144,159,0.07724198899995827,0,141,165,0.12229569000010088,0,0,132,155,9.22102462300063,0,255,217,3.5026011070003733,0,16
alu-v4_37.qasm,18,24,49,0.015572260999761056,0,21,41,0.06219319499905396,0,0,21,45,0.023647748999792384,0,42,60,0.2646817529985128,0,16
ex2_227.qasm,275,501,843,0.276894552000158,0,558,873,0.3664797519995773,0,0,462,833,3.36546350000026,0,416,794,9.34105243599879,0,16
rd73_140.qasm,104,186,234,0.0854150249997474,0,156,254,0.19993974899989553,0,0,171,227,3.736474162999002,0,133,206,2.5556279880001966,0,16
mod5d2_64.qasm,25,45,86,0.021591819000605028,0,48,80,0.16544422500010114,0,0,45,78,0.03764772099930269,0,48,78,0.41621362499972747,0,16
wim_266.qasm,427,786,1339,0.3178099149990885,0,741,1212,0.4442288219997863,0,0,717,1193,16.471353285998703,0,790,1235,16.59540949700022,0,16
sym6_145.qasm,1701,2988,5327,1.5066705840017676,0,3222,5335,1.751856853999925,0,0,2616,4942,41.64191696399939,0,2551,4843,61.33439769200049,0,16
rd53_133.qasm,256,462,821,0.1969370170008915,0,435,748,0.3994376470000134,0,0,453,791,7.8125778140001785,0,406,748,9.086786116999065,0,16
4gt4-v0_72.qasm,113,189,326,0.08479967300081626,0,153,308,0.1191815170004702,0,0,159,301,2.930329193999569,0,129,252,2.7864399280006182,0,16
