,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
decod24-v1_41.qasm,38,21,68,0.027197815999898012,0,18,65,0.0900851149999653,0,0,33,86,0.3343116400001236,0,33,84,0.26172138699985226,0,16
4gt12-v0_88.qasm,86,36,138,0.04561715299996649,0,39,148,0.1007567509996079,0,0,39,142,0.618828823000058,0,90,210,0.8461605839997901,0,16
rd53_138.qasm,60,42,100,0.04231946100026107,0,51,106,0.08962787100017522,0,0,42,97,0.11996434200000294,0,72,125,0.4641732330001105,0,16
4gt4-v0_79.qasm,105,42,167,0.05097700900023483,0,63,200,0.13085499499993603,0,0,72,209,1.1947640140001567,0,155,298,1.4140066059999299,0,16
alu-v3_34.qasm,24,18,47,0.018205246000434272,0,15,44,0.0831879319998734,0,0,18,46,0.021243712000341475,0,18,46,0.14233849900028872,0,16
qe_qft_5.qasm,38,3,54,0.025508703000014066,0,0,51,0.09340415699989535,0,0,3,54,0.023942531000102463,0,3,54,0.2556443900002705,0,5
3_17_13.qasm,17,21,47,0.01444531300012386,0,3,24,0.060113620000265655,0,0,18,44,0.017302396000104636,0,18,45,0.14384284400011893,0,16
decod24-v3_45.qasm,64,54,137,0.11835549899979014,0,21,106,0.09712348699986251,0,0,15,99,0.14996083099958923,0,90,176,0.7955054469998686,0,16
4gt4-v0_80.qasm,79,18,115,0.03719751299968266,0,21,121,0.10084158100016793,0,0,18,118,0.24631441900010032,0,81,190,0.6762766010001542,0,16
mod8-10_178.qasm,152,117,306,0.09321277000026384,0,114,300,0.15948449899997286,0,0,87,269,0.9658656199999314,0,189,350,1.9310973800002103,0,16
hwb4_49.qasm,107,129,275,0.0791962850003074,0,45,186,0.11864558200022657,0,0,81,216,0.3268100870000126,0,97,248,1.1246995880001123,0,16
4mod5-bdd_287.qasm,31,24,68,0.03554073800023616,0,9,47,0.09554923599989706,0,0,9,45,0.03675182599999971,0,27,64,0.2555446009996558,0,16
4gt11_84.qasm,9,0,11,0.007827754000118148,0,6,14,0.06744463399991218,0,0,0,11,0.007754792000014277,0,0,11,0.0943483340001876,0,16
decod24-v0_38.qasm,23,24,58,0.01843427799985875,0,12,43,0.06971480999982305,0,0,18,51,0.025060537999706867,0,16,50,0.16075411500014525,0,16
ising_model_10.qasm,90,0,70,0.123269197999889,0,12,99,0.22894867600007274,0,0,0,70,0.13209921199995733,0,9,74,0.5929861399999936,0,16
4mod5-v0_19.qasm,16,0,21,0.010223296000276605,0,0,21,0.07619071199997052,0,0,0,21,0.011042892999739706,0,9,31,0.1068925920003494,0,16
4gt4-v1_74.qasm,119,84,250,0.0730640729998413,0,105,260,0.13034121200007576,0,0,54,194,0.43321840000044176,0,112,261,0.9998223540001163,0,16
4mod5-v1_22.qasm,11,12,25,0.012236436999955913,0,9,21,0.0626049749998856,0,0,9,23,0.013282287000038195,0,12,26,0.11941444500007492,0,16
4gt12-v0_87.qasm,112,93,211,0.06558634599969082,0,99,207,0.12331475500013767,0,0,90,217,0.41798548299993854,0,82,206,0.8515497670000514,0,16
alu-v1_29.qasm,17,3,25,0.01528434300007575,0,3,25,0.07906601100012267,0,0,3,25,0.09142872800020996,0,3,22,0.1396289149997756,0,16
4gt12-v0_86.qasm,116,108,239,0.07091868700035775,0,66,215,0.1420963059999849,0,0,51,180,0.6707147530000839,0,112,250,1.3925108969997382,0,16
alu-v1_28.qasm,18,3,27,0.011850852999941708,0,3,27,0.06478721399980714,0,0,3,26,0.03517499300005511,0,15,42,0.11689070500005982,0,16
4mod5-v1_23.qasm,32,15,56,0.02004530399972282,0,15,55,0.1440175669999917,0,0,15,55,0.025119229000210908,0,15,55,0.1535204659999181,0,16
sf_274.qasm,336,213,690,0.200127903000066,0,156,552,0.38991151499976695,0,0,132,548,3.199287163000008,0,401,866,4.54712640300022,0,16
