,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,A* CNOTs,A* Depth,A* Time
alu-v3_34.qasm,39,78,0.015528957000242372,36,65,0.04597939100040094,39,73,0.02990667299945926,39,68,0.0024498840002706856
decod24-v3_45.qasm,102,204,0.043518399000276986,114,182,0.06878405700081203,102,203,0.17544482699941,99,196,0.0039712509997116285
4gt4-v0_80.qasm,156,267,0.06249383599970315,123,200,0.13999963399965054,156,257,0.4057234599995354,147,230,0.00588519500070106
mod8-10_178.qasm,258,418,0.1138277999998536,219,380,1.0317122079995897,261,415,8.92060697099987,330,534,0.013842340999872249
hwb4_49.qasm,180,342,0.07840976599982241,165,293,0.5843754750003427,165,330,0.06700514999920415,165,309,0.006418724000468501
4mod5-bdd_287.qasm,57,102,0.022419301000809355,54,91,0.03270025300025736,54,98,0.025662926000222797,39,79,0.0022283349999270285
decod24-v0_38.qasm,30,64,0.01317224400008854,27,61,0.02393664200008061,30,64,0.009694778999801201,27,60,0.0023840940002628486
4gt4-v1_74.qasm,198,378,0.08434115699947142,204,331,0.7062119760003043,198,376,0.09186570100064273,204,356,0.007733091000773129
4gt12-v0_87.qasm,189,344,0.07956216000002314,180,293,0.939810545999535,183,337,1.9922761249999894,186,310,0.007378117000371276
4gt12-v0_86.qasm,204,353,0.08659135999914724,213,299,0.12305367899989506,195,344,0.5330220879995977,198,326,0.007215182999971148
4mod5-v1_23.qasm,54,102,0.022359365999363945,42,88,0.1328473869998561,48,98,1.1592683389999365,51,91,0.0032950350005194196
sf_274.qasm,579,1059,0.2525665660004961,585,953,4.560307877000014,579,1059,4.017930228000296,594,1038,0.02220584999940911
4mod5-v0_18.qasm,48,91,0.020892330000606307,39,85,0.037698703999922145,42,90,0.028812608999942313,51,83,0.003632922999713628
majority_239.qasm,456,830,0.2013496559993655,408,686,2.50371495500076,438,803,30.029761363000034,477,809,0.01388348699947528
hwb5_53.qasm,1218,2005,0.5278301010002906,1128,1621,2.076953061000495,1164,1966,90.0766332330004,1128,1917,0.029728221999903326
ham7_104.qasm,249,439,0.10689355499926023,222,412,6.7871071949994075,249,432,2.804095161999612,219,422,0.006677659000160929
rd53_135.qasm,261,406,1.7163987430003544,240,367,1.5746065169996655,243,391,2.605287276999661,276,395,0.009618571999453707
rd32_270.qasm,57,111,0.02366701200026,57,96,0.036714587999995274,57,111,0.021722399000282167,57,103,0.0032221500005107373
cm152a_212.qasm,939,1645,0.4120561509998879,1014,1373,14.099952902000041,936,1626,82.81617205799921,1023,1677,0.0283913980001671
4gt10-v1_81.qasm,108,210,0.04779685599987715,108,180,0.07204447699950833,105,207,0.06624028999976872,111,200,0.004661429999941902
qft_10.qasm,138,153,0.07175066600029822,159,162,0.6908279559993389,117,137,13.60046648000025,117,152,0.004973191000317456
rd53_251.qasm,954,1714,0.513038005999988,960,1551,5.325444948999575,927,1695,101.96376490400053,1023,1732,0.028194995000376366
squar5_261.qasm,1743,2737,0.7760660779995305,1632,2274,19.07144577100007,1692,2658,200.9374789759995,1680,2557,0.051529247999496874
4gt4-v0_78.qasm,171,306,0.07741130799968232,180,293,0.5362764669998796,171,306,0.1372009070000786,189,324,0.007538922999628994
4gt13-v1_93.qasm,42,91,0.017640023000240035,42,74,0.03126421499928256,39,87,0.019903293999959715,45,86,0.002546638000239909
4gt4-v0_73.qasm,327,607,0.1459357160001673,345,494,0.25208271500014234,321,597,5.079216228000405,336,587,0.009559948000060103
one-two-three-v0_97.qasm,225,390,0.09989328600022418,192,322,1.1260963400000037,210,382,3.6271877389999645,186,360,0.006010760000208393
rd84_142.qasm,285,297,0.13968967999971937,270,271,22.15388822800014,288,276,22.13109221400009,288,375,0.01462359800007107
4mod7-v1_96.qasm,120,228,0.05229454800064559,132,212,0.08579169299991918,120,227,0.25092867400053365,126,223,0.005818016999910469
f2_232.qasm,972,1738,0.5090246899999329,822,1317,7.265188044999377,969,1711,48.53720367599999,909,1606,0.026996659000360523
sym9_146.qasm,276,356,0.12419920100001036,234,299,11.737131249000413,267,350,7.858831788000316,255,369,0.009254905000489089
alu-v4_36.qasm,87,171,0.040360178000810265,69,133,0.05262051600038831,84,165,0.08150367100006406,69,140,0.004103066999959992
alu-bdd_288.qasm,72,123,0.028603839999959746,72,113,0.04526348799936386,66,117,0.8348790889995144,66,105,0.0029004870002609096
4gt5_75.qasm,60,117,0.025236466000023938,66,104,0.03864019899992854,57,116,0.04319607600064046,54,103,0.002865443000700907
alu-v2_32.qasm,123,226,0.05257278899989615,117,199,0.07568968400028098,123,227,0.09051109199936036,123,219,0.005042249000325683
qft_16.qasm,324,334,0.1930353859997922,498,385,18.330353213999842,336,325,39.437769553999715,372,344,0.012098219000108656
decod24-v2_43.qasm,33,69,0.014187654000124894,33,67,0.024768406000475807,33,69,0.022420467999836546,30,64,0.002437961999930849
cnt3-5_180.qasm,396,532,0.1876762609999787,456,413,5.219280782000169,387,530,21.299344700999427,471,564,0.02445155999976123
sqrt8_260.qasm,2607,4196,1.276673772000322,2547,3093,43.12136420299976,2562,4101,1480.1310839510006,2649,4133,0.11896779099879495
4gt13_92.qasm,45,85,0.02161368700035382,45,75,0.062450356999761425,45,85,0.01680609100003494,42,86,0.002472658999977284
cnt3-5_179.qasm,162,179,0.07645044499986398,144,93,6.55273242200019,153,176,8.041353382001034,195,186,0.00984403199981898
ex2_227.qasm,468,843,0.2070158820006327,465,821,1.9094450649990904,474,842,14.306967567999891,456,810,0.015881639999861363
rd73_140.qasm,198,247,0.08720984600040538,174,219,7.757453762000296,189,240,2.34805175099973,168,227,0.005783603000963922
mod5d2_64.qasm,54,92,0.020239485000274726,51,75,0.035390941999139613,51,88,0.021594956999251735,45,82,0.002682013000594452
wim_266.qasm,762,1293,0.34897158999956446,732,1077,11.010888488999626,750,1308,51.36603952000041,810,1302,0.029396970001471345
rd53_133.qasm,420,747,0.19348392499887268,405,641,6.304969677999907,411,742,22.249005262001447,492,804,0.014025772999957553
4gt4-v0_72.qasm,189,328,0.08386715599954186,156,274,3.504573745000016,177,318,2.05888368199885,234,379,0.0070327049998013536
