,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
decod24-enable_126.qasm,234,444,0.12364935799996601,198,350,2.019293724000022,198,350,2.2154654290000053,0.0,0.7842105263157895,0.47101587624906055,1.4081632653061225,1.5507518564500302,213,420,0.014336770999989312
one-two-three-v2_100.qasm,45,87,0.025590114000010544,36,68,0.2450969559999976,36,68,0.27097702599996865,0.0,0.8,0.45825756949558405,1.2903225806451613,1.0834100402417202,36,83,0.007338027999935548
mod5adder_127.qasm,357,676,0.21694777400000476,306,534,5.7070973730000105,306,542,4.638689214999999,0.009933774834437087,0.7913907284768212,0.5142267901443082,1.4915966386554622,2.0797979795208366,327,637,0.01976085899991631
one-two-three-v3_101.qasm,51,97,0.026249239999970087,45,72,0.20096514800002296,45,72,0.22059230399997887,0.0,0.8,0.45825756949558405,1.3225806451612903,1.4230158064588891,54,93,0.007482397000103447
mod8-10_177.qasm,339,621,0.18278432900001462,249,424,3.391347927999959,249,428,3.4400691890000417,0.00796812749003984,0.7808764940239044,0.49276925889831863,1.471794871794872,2.125057913895431,273,510,0.016999165000015637
sf_276.qasm,555,1009,0.31175604800000656,441,759,5.1174102580000635,441,757,6.3223528620000025,0.0,0.7724137931034483,0.5039361515779768,1.5761194029850747,2.541482089180155,486,919,0.02711249800006499
cm42a_207.qasm,1335,2209,0.7742412310000191,1071,1580,25.06662148800001,1131,1694,14.02935847799995,0.20851063829787234,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1179,2073,0.052324040000030436
4gt12-v1_89.qasm,174,319,0.10527185799992367,147,203,1.159982293999974,147,203,1.275984236000113,0.0,0.7692307692307693,0.5044183480232308,1.530612244897959,2.2186780474456875,147,278,0.011213282999960938
pm1_249.qasm,1317,2181,0.7434715580000102,1080,1539,17.083904544000006,1182,1712,10.28248088099997,0.20851063829787234,0.8202127659574469,0.5692622674995528,1.7103896103896103,3.081662749677388,1179,2073,0.05228154299993548
mod10_171.qasm,162,315,0.15750266399993507,132,231,3.334789655999998,132,231,1.9862308990000201,0.0,0.7769784172661871,0.5095232002770007,1.3364485981308412,1.380396294402748,141,284,0.013101613999992878
