,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
qft_10.qasm,102,178,0.05849159599995346,183,204,2.2639703959999906,183,195,0.584629087000053,1.4285714285714286,0.8491692619108098,1.5393258426966292,0.49845107893974905,117,152,0.005290779000006296
rd53_251.qasm,1146,1890,0.5460680850000017,1293,1469,2.5133687700000564,1302,1534,1.4637156100000084,0.7921348314606742,0.531634054907444,1.6263345195729537,2.7953730991661017,1023,1732,0.03205186699995011
squar5_261.qasm,1782,2762,1.0166133779999882,1641,1996,27.968264608000027,1815,2195,3.4082231480000473,0.8284080076263107,0.5567108922183257,1.9965397923875432,4.7123717044788815,1680,2557,0.0504725050000161
4gt4-v0_78.qasm,204,348,0.09449162000009892,198,255,2.3148390690000724,219,288,0.2861382419999927,0.7956204379562044,0.5001997576353815,1.462962962962963,2.0612200896283537,189,324,0.007882898999923782
4gt13-v1_93.qasm,39,87,0.01797449500008952,42,74,0.030667982999943888,42,74,0.03265105399998447,0.7692307692307693,0.5292248061679563,1.4827586206896552,1.793103448275862,45,86,0.002480425000044306
4gt4-v0_73.qasm,333,601,0.14687588899994353,345,497,0.32330802600006336,345,494,0.2818563499999982,0.788546255506608,0.504823518970107,1.4606741573033708,1.9317348538326709,336,587,0.009959815000001981
one-two-three-v0_97.qasm,225,422,0.10250469800007522,207,359,0.1361958960000038,207,359,0.1402467070000739,0.7852760736196319,0.5165046669901641,1.3937007874015748,1.4909568893515635,186,360,0.005834043999925598
rd84_142.qasm,303,306,0.1474770020000733,282,268,21.306658715000026,321,291,1.9320086029999857,1.4,0.9165151389911678,1.5620915032679739,2.5815586955978156,288,375,0.019796797000026345
4mod7-v1_96.qasm,126,235,0.05105540099998507,132,206,0.18913889299994935,132,203,0.15846998199992868,0.7659574468085106,0.5141721690891307,1.3380281690140845,1.3834399051052026,126,223,0.005652947000044151
f2_232.qasm,972,1687,0.45447353999998086,960,1242,8.189663941000049,1023,1362,1.1951627959999769,0.7859281437125748,0.5338647428880741,1.8508604206500956,3.469717979075904,909,1606,0.030409248000069056
sym9_146.qasm,285,367,0.14442513699998472,255,301,12.519857557000023,258,324,1.4233393090000845,1.1653543307086613,0.6846319722609184,1.3310344827586207,1.3997791570337483,255,369,0.00797551100004057
alu-v4_36.qasm,72,153,0.031236504000048626,69,130,0.05218611099996906,69,130,0.052497199000072214,0.7727272727272727,0.4860307555256194,1.2448979591836735,1.1871869038570602,69,140,0.003439931000002616
alu-bdd_288.qasm,63,115,0.025224736999916786,63,110,0.04247538699996767,63,110,0.0407537040000534,0.7916666666666666,0.45452967144315476,1.4444444444444444,2.465815669019127,66,105,0.002821922000066479
4gt5_75.qasm,60,120,0.026007735999883153,60,109,0.0556098430001839,60,110,0.0522600300000704,0.8085106382978723,0.5314891913530552,1.5405405405405406,1.7335262390080621,54,103,0.0029568880001988873
alu-v2_32.qasm,123,223,0.058015596999894115,111,195,0.32701960100007454,111,195,0.09518661900006009,0.782608695652174,0.5070392952039391,1.352112676056338,1.3850163119931853,123,219,0.005665775999887046
qft_16.qasm,342,306,0.22065331599992533,627,480,18.043144813000026,705,513,4.001864926000053,2.2857142857142856,1.2999215046945516,1.5397489539748954,0.49841751640356874,372,344,0.013089564999972936
decod24-v2_43.qasm,33,70,0.01424593299998378,33,67,0.023964803999888318,33,67,0.026337485000112792,0.7333333333333333,0.4422166387140533,1.0,0.0,30,64,0.0026995670000360406
cnt3-5_180.qasm,405,581,0.19617714199989678,366,273,16.88267028700011,402,290,1.0568572360000417,1.0287081339712918,0.7182772824801992,1.3981042654028435,1.5216591744399142,471,564,0.023302620000094976
sqrt8_260.qasm,2616,4195,1.3635346969999773,2433,3179,37.231818373999886,2712,3034,3.9268010830001003,0.7920433996383364,0.5474776249072619,2.341463414634146,5.690641680554697,2649,4133,0.083011291000048
4gt13_92.qasm,45,88,0.020623956999997972,45,75,0.0330170839999937,45,75,0.03412166599991906,0.7894736842105263,0.4677997061745046,1.5,1.679710859472121,42,86,0.0023691369999596645
cnt3-5_179.qasm,192,211,0.08829020500002116,189,145,3.8980431119998684,201,146,1.0308435770000415,1.3934426229508197,0.9103897296337587,2.125,4.985917668794783,195,186,0.011071623999896474
ex2_227.qasm,534,880,0.24222220999990896,456,734,2.709886084000118,462,763,0.4266907049998281,0.7746478873239436,0.514499157490969,1.9926739926739927,4.23399176385082,456,810,0.014086746999964816
rd73_140.qasm,207,316,0.10208287300019947,165,207,7.651077647999955,174,234,0.7058571259999553,1.1304347826086956,0.6791521457310136,1.3106796116504855,1.3583908685353556,168,227,0.006534625000085725
mod5d2_64.qasm,51,88,0.02067396200004623,51,74,0.030964457999971273,51,74,0.02967349000005015,0.78125,0.41339864235384227,1.0,0.0,45,82,0.002929145000052813
wim_266.qasm,810,1307,0.3617510569999922,771,1085,13.523254493999957,831,1131,1.2762332219999735,0.830739299610895,0.5856160397761396,1.624413145539906,2.782366550750996,810,1302,0.02680628100006288
rd53_133.qasm,450,784,0.2049514430000272,477,656,4.94150413400007,495,664,0.8400962279999931,0.7828746177370031,0.5462804386142903,1.8313725490196078,3.162122034831675,492,804,0.014520172999937131
4gt4-v0_72.qasm,201,360,0.08450176799988185,189,273,0.7405013909999525,192,280,0.2786184490000778,0.8248175182481752,0.5523382310187624,1.4642857142857142,2.0784977895644943,234,379,0.01151727500018751
