,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,A* CNOTs,A* Depth,A* Time,A* Memory
rd53_135.qasm,134,332,361,0.4875527129988768,575.478515625,308,328,142.40210537500025,28799.7763671875,347,361,7.396549032000621,1586.623046875,335,328,0.018639920999703463,7.880859375
rd32_270.qasm,36,87,91,0.12148018600055366,169.046875,81,92,9.873684818001493,5180.8994140625,93,99,0.7966505350013904,599.3125,81,91,0.009407036999618867,4.634765625
cm152a_212.qasm,532,1444,1534,2.3041145259994664,2422.005859375,1258,1427,769.6970040449996,110059.064453125,1384,1502,33.60383032900063,6396.9697265625,1321,1419,0.047173431998089654,22.1416015625
4gt10-v1_81.qasm,66,183,208,0.2550195629992231,306.974609375,144,169,20.022013439000148,9402.0556640625,159,175,1.500902011001017,963.1796875,159,184,0.011876503998792032,5.62890625
qft_10.qasm,90,153,149,0.20881801399809774,317.544921875,216,133,272.3916517930011,98577.142578125,243,153,7.9092588710009295,1922.1787109375,189,165,0.026978763999068178,6.8095703125
rd53_251.qasm,564,1467,1568,2.3040357940008107,2527.158203125,1311,1476,635.9040043800014,2059.27734375,1377,1519,30.903384461002133,2266.16015625,1329,1496,0.045594909999636,22.2431640625
qe_qft_4.qasm,27,33,52,0.0441314660019998,93.2275390625,42,45,14.035087587999442,1678.966796875,42,52,0.8863017830008175,281.498046875,0,0,0.0,0.0
squar5_261.qasm,869,2465,2439,3.9738237649980874,3707.1240234375,2165,2245,1521.044531304,241865.703125,2384,2421,75.37176180499955,3827.703125,2252,2310,0.09186264399977517,35.1064453125
4gt4-v0_78.qasm,109,283,334,0.5619706540019251,498.0146484375,235,269,60.376119174998166,12134.8837890625,262,292,4.2276428080003825,1229.9345703125,259,289,0.016095405000669416,6.87109375
4gt13-v1_93.qasm,30,75,84,0.1008564590010792,139.767578125,66,76,2.270724263999,1496.98046875,66,76,0.34088741799860145,297.0009765625,66,77,0.010137132001545979,4.4130859375
4gt4-v0_73.qasm,179,482,477,0.716524056999333,742.2822265625,413,455,136.34281717200065,25273.04296875,473,518,9.357546414001263,3286.134765625,419,462,0.01802183600011631,9.2109375
one-two-three-v0_97.qasm,128,347,384,0.5026970409999194,590.9609375,308,355,80.52623983100057,28794.1748046875,326,377,2.5874738079983217,1282.830078125,311,327,0.018296321999514475,7.689453125
rd84_142.qasm,154,409,318,0.664371017999656,644.4375,403,256,525.4993153249998,63533.09375,463,302,41.646443939000164,7238.8154296875,385,283,0.019232736001868034,8.7216796875
4mod7-v1_96.qasm,72,183,208,0.25243855499866186,322.9296875,162,192,18.71952511299969,7335.00390625,165,197,1.7809112100003404,273.91015625,174,197,0.012006772001768695,5.8779296875
ising_model_16.qasm,150,165,114,0.3115274869996938,853.724609375,168,71,8.273993299000722,7784.9296875,177,86,1.039773681000952,778.900390625,0,0,0.0,0.0
f2_232.qasm,525,1440,1609,2.113106187000085,2359.193359375,1224,1382,522.5175321210008,98157.423828125,1371,1534,28.015336562999437,2186.09375,1272,1364,0.04547803699824726,21.27734375
