,size,depth,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std."
498,300,89,825,537,0.4356879099998423,804,333,0.954814099000032,0.6020408163265306,0.6583807582423893,2.3333333333333335,4.02555936549546
499,300,98,885,567,0.3741285030000654,834,432,2.288414788999944,0.6951871657754011,0.6999834545378387,2.4296875,3.835857942148503
500,300,77,783,478,0.49809502000016437,732,312,0.8784969519999777,0.5555555555555556,0.6114717550558166,2.4411764705882355,4.287632761133855
501,300,86,750,475,0.4011496519999582,750,343,1.1713514919999852,0.6203208556149733,0.654244801804369,2.4210526315789473,4.211293789703448
502,300,73,651,403,0.34137366799996016,699,366,0.8784662890000163,0.6774193548387096,0.671401844683752,3.048076923076923,4.560237442561996
503,300,76,732,414,0.48975049099999524,711,349,2.0445231199998943,0.6928104575163399,0.6886668541240182,2.480769230769231,3.9442771815894355
504,300,71,837,490,0.44718452300003264,891,438,1.5739225289999013,0.8125,0.6663410663216448,3.1130434782608694,5.076399301441412
505,300,95,756,481,0.404487951999954,774,346,0.5718680780000795,0.5555555555555556,0.5545445345984163,2.1018518518518516,3.884775161077691
506,300,90,918,502,0.39467368300006456,858,354,1.0686153879998983,0.6018957345971564,0.6404946315270579,2.3629032258064515,3.915096252718969
507,300,79,771,478,0.4305109319998337,735,387,3.2640451380000286,0.7469135802469136,0.6787036335258976,2.697478991596639,5.065212749642257
508,300,74,807,486,0.39925663100007114,843,378,1.4176704480000808,0.7484276729559748,0.7436824359385635,2.9051724137931036,4.5636843257883095
509,300,80,741,440,0.3453215889999228,783,377,1.3512153470001067,0.6956521739130435,0.6691375580279418,3.774774774774775,8.30031442439792
510,300,82,819,472,0.3648022290001336,852,422,1.584621685000002,0.8260869565217391,0.7605589428059087,2.8230769230769233,4.596763718790703
511,300,81,813,514,0.3742814140000519,798,343,1.9566701349999676,0.7245508982035929,0.7313728429695247,2.3504273504273505,3.8659509490484396
512,300,68,711,458,0.3790087100001074,729,389,3.93527154100002,0.75,0.7700035099955099,3.165137614678899,4.9853248152123735
513,300,91,906,569,0.424630137999884,933,472,1.9187205359999098,0.7513227513227513,0.7248870348488108,2.392857142857143,3.551048997069998
514,300,58,573,362,0.27404175600008784,582,261,0.9354148400000213,0.7787610619469026,0.7375457180890136,2.7261904761904763,4.3979193957299705
515,300,74,711,426,0.3415525110001454,801,387,2.1294501339998533,0.7857142857142857,0.7892482508591515,2.9316239316239314,5.3216643109143735
516,300,79,801,507,0.45664639200003876,798,341,0.9540684739999961,0.75,0.6020797289396148,2.773109243697479,5.183096272621134
517,300,70,762,453,0.3773993079998945,849,413,3.332848308999928,0.8493150684931506,0.7525524216339929,3.1311475409836067,5.492096884737778
