,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.","In Layer Distance, mean","In Layer Distance, std."
27,789,500,0.5329692990000012,756,631,10.235311080000088,0.5072463768115942,0.5741581967982697,2.5942028985507246,6.167513864044409,2.6449275362318843,13.59683505619869
28,693,413,0.6695598239999754,762,483,30.02611532200001,0.8830409356725146,0.8224226752733674,3.589041095890411,8.853968410534875,18.502923976608187,54.6940853649323
29,531,354,0.29395684800010713,528,387,9.03153617800001,0.5894736842105263,0.6406368023032816,3.327272727272727,8.325327283666708,7.589473684210526,30.520051988933474
30,300,221,0.19452582300004906,288,220,4.594299826999986,0.7155963302752294,0.7050504974987468,3.041095890410959,5.810803250451918,9.431192660550458,31.232882863611167
31,975,553,0.6199883820000878,963,604,52.08074856999997,0.6666666666666666,0.7171869028941453,3.1988636363636362,7.241782087275671,9.513108614232209,40.49454136792624
32,711,461,0.43610947900003794,792,486,30.647019933000024,0.6715686274509803,0.7036149586216566,2.925925925925926,6.893507014392311,11.372549019607844,50.34467893853399
33,1032,589,1.0700424930000736,993,586,29.779323136000016,0.7896995708154506,0.7197259819830369,2.5722222222222224,4.391950408993906,11.261802575107296,32.78549284297449
34,636,400,0.4023979019999615,699,442,30.14445141500005,0.6994818652849741,0.6999998082402716,2.7786259541984735,4.927396656111077,10.766839378238341,33.634927239775294
35,171,186,0.10806868999998187,168,237,2.4807976380000127,0.5225225225225225,0.5827373559926569,1.6727272727272726,2.5445452921497886,4.5225225225225225,21.525114954793167
36,801,586,0.4825708030000442,747,581,7.390259267000033,0.5539568345323741,0.5711614050815479,1.881578947368421,3.064942281860416,2.8129496402877696,14.318609084676
37,165,123,0.1378719539999338,198,147,8.839499262999993,0.7160493827160493,0.8200356496501539,1.9259259259259258,1.6199205724910397,16.320987654320987,64.90141187387273
38,885,663,0.5473640379999551,948,773,8.726226169999904,0.47863247863247865,0.543256361780195,1.970059880239521,5.118272011103738,1.7435897435897436,12.513801278643363
39,981,615,0.8865947400000778,1011,665,34.46136271,0.7066115702479339,0.6868584053187662,3.1867469879518073,6.411215156221042,9.96694214876033,32.396799628770985
40,918,613,0.6421591799999078,804,671,7.974673409000047,0.5094339622641509,0.5813444029328977,2.8509316770186337,10.547856736829221,3.7861635220125787,22.236681344821264
41,801,535,0.42276606699999775,717,638,3.782455910000067,0.46075085324232085,0.525131658486713,1.507462686567164,3.0948832800712247,1.1467576791808873,9.832503286888496
42,858,413,0.8405166359999612,864,546,31.627920157000062,0.6445497630331753,0.7032127769096268,3.0977443609022557,7.723477207530956,9.014218009478673,34.001042453071925
43,186,136,0.11417383200000586,144,160,1.2292516890000798,0.6219512195121951,0.6176320615658829,2.625,4.867515622299874,5.146341463414634,18.927410727804595
44,687,488,0.35470464699994864,591,612,1.5896176589999413,0.42662116040955633,0.4945862370713119,1.0,0.0,0.0,0.0
45,951,608,0.5108048309999731,804,823,4.522599388000003,0.43799472295514513,0.5066650129309832,1.2121212121212122,2.485809126946526,0.6912928759894459,9.513617689789152
46,1083,596,0.6047778920000155,1140,668,25.990219646000014,0.6208053691275168,0.6243144070877644,2.546448087431694,5.863359968154568,5.12751677852349,20.667157290684813
47,351,265,0.2463222260000748,381,326,10.531099110000014,0.6492537313432836,0.6938693443031542,3.0352941176470587,6.067167298759929,9.149253731343284,32.16225363908095
48,1170,676,0.7781766539999353,1188,671,62.88290941300011,0.8361344537815126,0.7686319936003484,3.5440414507772022,7.211776367976307,18.638655462184875,58.17327508681863
49,435,242,0.3377010099998188,447,285,9.843448198000033,0.7741935483870968,0.7914738158958257,3.6,7.4173969677898315,15.629032258064516,57.175094361028464
50,963,570,0.6910431500000414,1047,669,58.671508588999814,0.6762295081967213,0.7449890832832609,2.950310559006211,6.809566929468213,12.10655737704918,44.70308372702854
51,435,249,0.31840866200013807,432,304,21.175953201000084,0.7163120567375887,0.6977800780850407,2.673469387755102,4.43956127222941,10.851063829787234,32.987626343465024
52,1008,584,0.5997427629999947,969,655,21.46445832800009,0.6833333333333333,0.6256108126374487,2.8875,6.29681218951304,6.3,25.53448648396909
53,1119,680,0.6089578280000296,1185,834,23.794092083000123,0.5956112852664577,0.6452961114646429,3.5396825396825395,8.321881776457493,6.382445141065831,35.21600794152994
54,852,551,0.4497297880000133,762,669,7.632343503999891,0.49645390070921985,0.534273729550332,1.8115942028985508,4.289438875227647,1.1134751773049645,8.966123950921299
55,288,235,0.14586442299992086,258,294,1.7826987840001038,0.5033557046979866,0.6089286562262418,2.0684931506849313,5.0404630335336105,2.8993288590604025,16.15268796233711
56,507,301,0.34941043800017724,582,380,21.271819313999913,0.9349593495934959,0.7406856568409997,3.2882882882882885,6.263561700674079,14.910569105691057,36.568458604605816
57,180,154,0.10008929400009947,174,169,5.749267469000188,0.5555555555555556,0.6166416411338493,1.5625,1.7666617531378213,4.311111111111111,16.594272401741808
58,201,192,0.10448163699993529,222,195,2.4460351249999803,0.5670103092783505,0.5354873778647651,1.2692307692307692,0.4435600997950306,1.6494845360824741,12.372267989265934
59,270,216,0.13621991600007277,243,253,2.6976031799999873,0.532258064516129,0.5741119913083124,1.1538461538461537,0.36080121229410994,2.1129032258064515,11.568317186999236
60,1137,726,0.816709610000089,1110,871,23.575289215999874,0.528,0.5784023974131965,2.051282051282051,4.388497306909823,3.0986666666666665,15.635459642179445
61,780,525,0.45706053099979727,822,628,16.196677619999946,0.5817490494296578,0.6348329783555999,2.704697986577181,6.463634313058634,5.79467680608365,25.45113207216648
62,531,348,0.3103152000001046,540,402,22.733661524000127,0.803921568627451,0.7926032522120682,2.1864406779661016,3.3343338534827156,13.254901960784315,34.91830417083366
63,231,177,0.15364033699984248,249,182,4.4207442629999605,0.5742574257425742,0.6652109715738941,2.0,4.1560470729681676,6.475247524752476,26.94644268643976
64,306,208,0.1810882899999342,309,228,8.456161610000208,0.7087378640776699,0.6915729638255581,3.2794117647058822,6.265793194788796,6.485436893203883,21.15034672426665
65,690,346,0.694909804999952,750,378,38.446621909999976,0.9461538461538461,0.8797861493789575,3.094017094017094,7.108419115703162,28.26153846153846,60.69768134541928
66,519,367,0.29760043700002825,429,329,8.154205272000127,0.625,0.6794466331307613,1.834862385321101,3.9758762497768037,7.3522727272727275,23.068346954178296
