,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE TVD,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight TVD,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,ForeSight SSOnly TVD,A* CNOTs,A* Depth,A* Time,A* Memory
alu-v3_34.qasm,66,79,0.06565492192748934,136.44921875,0.0,60,69,0.09221462300047278,280.076171875,0.0,60,69,0.08943029900547117,231.271484375,0.0,57,62,0.0033906459575518966,2.94921875
mod5d1_63.qasm,37,35,0.035863058059476316,77.2275390625,0.0,40,38,0.9669148629764095,562.7099609375,0.0,40,38,0.35783180699218065,238.501953125,0.0,34,31,0.002894971054047346,2.5615234375
rd73_252.qasm,7290,7718,12.227621178026311,12537.263671875,0.0,7974,8107,1081.981294480036,219594.169921875,0.0,8616,8438,74.78054819698445,10600.59765625,0.0,8172,8177,0.20721994596533477,99.7548828125
4mod7-v0_94.qasm,183,225,0.1979700910160318,350.35546875,0.0,195,225,0.942270096973516,909.6748046875,0.0,195,225,1.1245285850018263,262.45703125,0.0,183,218,0.004934852011501789,4.63671875
mod5adder_127.qasm,728,801,0.8136295069707558,1235.3388671875,0.0,752,811,19.00251554197166,14031.9033203125,0.0,788,846,2.831289340974763,2043.8798828125,0.0,749,754,0.03150218504015356,11.328125
rd32_270.qasm,93,112,0.09698540810495615,194.1875,0.0,93,107,0.13762069505173713,363.0283203125,0.0,93,107,0.1382050970569253,170.45703125,0.0,105,107,0.004648214904591441,3.4921875
ex3_229.qasm,508,601,0.5507242099847645,817.5419921875,0.0,526,586,7.728637762018479,5700.2783203125,0.0,544,610,1.4598926049657166,2094.125,0.0,514,582,0.015207145945169032,8.6396484375
ex2_227.qasm,764,929,4.0668913159752265,1278.7900390625,0.0,779,882,14.729505781084299,15189.1083984375,0.0,809,892,1.8641630570637062,2218.7978515625,0.0,857,941,0.03451955993659794,12.6767578125
ham7_104.qasm,404,451,0.41202782606706023,708.8876953125,0.0,428,469,1.3184293849626556,1824.2744140625,0.0,428,469,1.3689479400636628,1773.8154296875,0.0,386,431,0.009699288988485932,7.2060546875
sym6_316.qasm,381,389,0.4380431449972093,650.3583984375,0.0,360,329,40.887916111038066,5743.18359375,0.0,378,341,3.2248039270052686,1392.87890625,0.0,375,379,0.02561004797462374,7.0361328125
cm42a_207.qasm,2370,2607,2.7339817649917677,4085.29296875,0.0,2325,2445,198.24529538699426,3391.25390625,0.0,2613,2659,12.558538871933706,8804.328125,0.0,2568,2659,0.21402149403002113,33.68359375
squar5_261.qasm,2768,2795,3.3114695240510628,4750.0693359375,0.0,2978,2879,255.4303130719345,79624.2724609375,0.0,3071,2933,18.139529385021888,4254.21484375,0.0,2678,2779,0.04870666505303234,37.5703125
ex1_226.qasm,14,14,0.01848934800364077,39.0595703125,0.0,14,15,0.022292788024060428,80.79296875,0.0,14,14,0.019681019941344857,65.73046875,0.0,11,11,0.0028792369412258267,2.302734375
sf_274.qasm,1017,1198,1.1228663719957694,1680.00390625,0.0,1074,1163,21.822824656032026,15909.107421875,0.0,1113,1163,3.1275238340022042,3006.9375,0.0,1008,1097,0.03721366997342557,14.7802734375
ham3_102.qasm,26,30,0.03246177593246102,57.0068359375,0.0,23,27,0.030090297921560705,98.4208984375,0.0,23,27,0.02955568302422762,87.2021484375,0.0,23,26,0.0026122069684788585,2.478515625
mod10_176.qasm,216,256,0.23804170300718397,404.048828125,0.0,213,242,1.0098628440173343,949.2216796875,0.0,216,251,0.7906149469781667,320.15234375,0.0,198,234,0.004900631029158831,4.8583984375
3_17_13.qasm,38,48,0.03746193996630609,83.4267578125,0.0,35,45,0.051247445051558316,95.87890625,0.0,35,45,0.05061905097682029,74.94140625,0.0,35,42,0.002478040987625718,2.68359375
cm82a_208.qasm,856,975,0.978483096929267,1381.2333984375,0.0,835,867,91.69876490789466,25727.669921875,0.0,919,914,6.635573237086646,1287.01171875,0.0,838,895,0.030793080921284854,12.8408203125
alu-v1_29.qasm,41,47,0.04191220202483237,94.4833984375,0.0,38,44,0.08288075495511293,245.587890625,0.0,38,44,0.07960450393147767,209.021484375,0.0,41,45,0.0030774159822613,2.728515625
rd53_130.qasm,1318,1498,1.5244169289944693,2330.642578125,0.0,1357,1468,133.14747268299107,32500.7490234375,0.0,1399,1492,8.647759119980037,1794.51953125,0.0,1396,1494,0.047210684046149254,19.490234375
f2_232.qasm,1599,1797,1.8154642650624737,2653.056640625,0.0,1530,1671,95.98256623896305,31083.451171875,0.0,1548,1669,5.780654919915833,2247.98828125,0.0,1668,1727,0.04857992101460695,22.35546875
0410184_169.qasm,287,253,0.31117731996346265,503.7685546875,0.0,326,274,4.399965116987005,5209.0546875,0.0,338,283,1.0227627599379048,592.58203125,0.0,353,276,0.01148640806786716,6.203125
rd53_131.qasm,578,688,0.6421305229887366,949.396484375,0.0,563,630,9.762960254913196,9374.015625,0.0,599,668,1.5895511559210718,2305.7939453125,0.0,587,632,0.027451011002995074,9.65625
4gt5_76.qasm,118,142,0.11101031303405762,224.05078125,0.0,112,129,0.2794774069916457,695.4765625,0.0,124,142,0.22569633997045457,203.24609375,0.0,112,126,0.0047965479316189885,3.5986328125
mod5d2_64.qasm,79,93,0.07996930507943034,153.0537109375,0.0,76,83,0.1297458769986406,366.1796875,0.0,76,83,0.1278552629519254,317.7890625,0.0,64,76,0.00370006391312927,2.9970703125
rd84_142.qasm,475,351,0.576704885927029,815.767578125,0.0,457,302,223.04674948600587,18371.4912109375,0.0,628,410,15.324338542995974,881.42578125,0.0,484,349,0.026396534056402743,8.0869140625
