,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
ising_model_16.qasm,150,9,81,0.9908459340003901,0,13,46,1.5605481149996194,0,15,71,1.263740936999966,0,0,12,51,3.098277954000878,42,29,3,50,141,2.0687010290002945,8,16
4mod5-v1_24.qasm,16,3,28,0.09994142800132977,2,8,30,0.18365033000009134,1,7,29,0.14496087199950125,0,1,-1,18,0.21874071400088724,10,11,3,9,31,0.18173933899925032,1,16
f2_232.qasm,525,171,851,2.300039650999679,29,240,839,16.643051918999845,13,199,826,2.3596191919987177,0,7,130,689,28.48106591100077,346,322,19,491,1138,7.503628137001215,26,16
mod5d1_63.qasm,13,0,13,0.04265857700011111,0,0,13,0.04899732900048548,0,3,16,0.09111478600061673,0,0,0,13,0.07559511700128496,10,3,0,10,23,0.14552498900047794,0,16
sym9_146.qasm,148,117,277,0.9486510810002073,26,109,231,26.953541016999225,14,115,231,0.7966198880003503,0,8,50,161,13.477408951999678,80,47,13,146,299,2.374647589000233,14,16
alu-v4_36.qasm,51,4,65,0.22169314799975837,1,4,65,0.293520797000383,1,4,65,0.2539906379988679,0,1,4,65,0.6507630399992195,38,28,1,29,93,0.557929623999371,3,16
alu-bdd_288.qasm,38,13,64,0.1747575160006818,1,11,54,0.44477782399917487,2,9,62,0.2261279740014288,0,2,4,51,0.6333654390000447,29,19,4,37,90,0.5116695870001422,5,16
4gt11_82.qasm,18,1,20,0.06185300300057861,0,1,20,0.09088197299934109,0,1,20,0.10787332600011723,0,0,1,20,0.14830025900118926,13,7,0,10,32,0.18077715000072203,0,16
4gt5_75.qasm,38,20,75,0.22641771999951743,5,35,86,0.6071961679990636,2,25,73,0.24346877000061795,0,1,11,56,1.1188600859986764,27,20,4,19,71,0.39473122399977,3,16
graycode6_47.qasm,5,0,5,0.016103969001051155,0,0,5,0.016564531999392784,0,0,5,0.0583386430007522,0,0,0,5,0.018033357000604155,5,0,0,1,9,0.10047043899976416,1,16
alu-v2_33.qasm,17,6,33,0.11374655299914593,3,9,31,0.15484045799894375,0,9,30,0.13138176299980842,0,0,-2,21,0.2605470050002623,13,9,3,11,33,0.20940771299865446,2,16
alu-v2_32.qasm,72,17,104,0.3092039860002842,2,22,112,0.6628111210011411,1,47,134,0.3997232420006185,0,2,16,100,1.2156638810010918,48,44,1,55,150,0.7745084799989854,3,16
4gt11_83.qasm,14,0,16,0.03851429099995585,0,0,16,0.04776277000019036,0,3,19,0.08509091900123167,0,0,0,16,0.07978471600108605,9,7,0,8,27,0.15818328699970152,1,16
qft_16.qasm,240,-93,106,1.1049396030011849,123,126,216,26.988477551998585,60,-63,107,1.2008134269999573,0,134,123,184,38.57069591399886,68,37,52,122,210,5.873355769999762,130,16
decod24-v2_43.qasm,22,16,55,0.16340961900095863,4,12,44,0.3355009049992077,2,0,29,0.13994430999991891,0,0,5,28,0.47682381799859286,18,12,5,22,50,0.3145805060012208,0,16
cnt3-5_180.qasm,215,117,350,1.1006643019991316,14,121,293,21.043400714999734,10,126,357,1.1098263369985943,0,13,88,277,16.077095196998926,112,97,12,255,496,3.8196848629995657,12,16
sqrt8_260.qasm,1314,1078,2807,7.501102861999243,124,1092,2524,47.66082900899892,46,900,2345,6.603964078998615,0,51,509,1844,166.1695967930009,888,771,118,1718,3337,27.832922350000445,87,16
4gt13_92.qasm,30,0,35,0.11334732999966945,0,0,35,0.1464776949997031,0,0,35,0.1596068020007806,0,0,0,35,0.2884815610013902,21,17,0,0,35,0.19479976399998122,0,16
cnt3-5_179.qasm,85,-3,67,0.34564843000043766,9,-7,63,5.761933814999793,9,-3,67,0.4631958419995499,0,9,-2,69,4.39654367500043,32,29,9,67,132,1.146759547000329,13,16
alu-v4_37.qasm,18,6,33,0.11483544200018514,3,9,30,0.1857865860001766,0,9,30,0.1309476349997567,0,0,-1,23,0.22509947599974112,16,6,2,7,32,0.2232766540000739,3,16
ex2_227.qasm,275,187,592,1.7369903449998674,40,175,490,6.506991939999352,11,171,507,1.3319840649983234,0,10,71,385,10.792133372000535,203,152,23,273,585,4.068486118998408,11,16
rd73_140.qasm,104,86,203,0.645914865001032,14,51,136,18.659054908001053,13,41,142,0.6400870970010146,0,8,26,121,8.19238459799999,56,36,13,89,199,1.4801495209994755,8,16
mod5d2_64.qasm,25,15,57,0.15997158699974534,3,16,50,0.5022981069996604,1,18,52,0.1661388740012626,0,0,0,34,0.5137527140013844,17,15,3,13,51,0.27700788599941006,2,16
wim_266.qasm,427,303,866,2.477075357999638,48,280,708,13.02033009600018,6,314,797,2.035200344000259,0,9,91,566,23.090526574998876,253,261,33,570,1073,7.882040586000585,24,16
sym6_145.qasm,1701,1240,3514,9.531900385998597,164,1038,2978,43.08004027900097,56,1016,3114,8.427346532000229,0,72,527,2456,247.63870426500216,1245,942,168,1531,3545,24.1947278560001,50,16
rd53_133.qasm,256,142,493,1.455767575000209,28,107,421,3.014329813999211,8,145,444,1.3552475130018138,0,7,50,344,9.703660481001862,165,162,23,246,554,3.9954498070001137,24,16
4gt4-v0_72.qasm,113,25,167,0.4733138199990208,2,20,142,0.8056109600001946,2,35,175,0.5229041799975676,0,2,9,145,2.5522184250003193,82,55,10,33,158,0.915379246998782,2,16
