,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
alu-v0_26.qasm,38.0,44.0,110.0,0.381,11.0,78.0,115.0,0.5,0.0,5.0,10.0,60.0,0.912,32.0,17.0,8.0,69.0,117.0,1.211,7.0,16.0
sym6_316.qasm,123.0,189.0,341.0,1.145,32.0,261.0,342.0,1.062,0.0,6.0,142.0,238.0,14.696,85.0,50.0,28.0,315.0,372.0,8.576,20.0,16.0
decod24-bdd_294.qasm,32.0,36.0,98.0,0.327,9.0,29.0,84.0,0.386,0.0,6.0,12.0,48.0,2.068,28.0,12.0,6.0,37.0,85.0,0.94,2.0,16.0
miller_11.qasm,23.0,24.0,70.0,0.232,6.0,35.0,73.0,0.284,0.0,3.0,2.0,35.0,0.583,18.0,11.0,5.0,23.0,58.0,0.434,1.0,16.0
rd32-v1_68.qasm,16.0,12.0,33.0,0.132,3.0,14.0,31.0,0.183,0.0,2.0,0.0,24.0,0.363,14.0,7.0,4.0,6.0,35.0,0.386,5.0,16.0
dc1_220.qasm,833.0,1149.0,2384.0,8.177,207.0,1447.0,2462.0,6.814,0.0,59.0,614.0,1564.0,90.073,589.0,449.0,169.0,1502.0,2507.0,47.681,93.0,16.0
decod24-enable_126.qasm,149.0,186.0,438.0,1.686,31.0,188.0,388.0,1.046,0.0,9.0,87.0,286.0,6.968,102.0,88.0,19.0,250.0,439.0,6.712,20.0,16.0
one-two-three-v2_100.qasm,32.0,30.0,86.0,0.308,8.0,43.0,79.0,0.288,0.0,1.0,9.0,41.0,1.579,25.0,15.0,5.0,79.0,107.0,1.058,2.0,16.0
mod5adder_127.qasm,239.0,300.0,679.0,2.719,65.0,300.0,608.0,2.393,0.0,20.0,148.0,438.0,12.076,183.0,119.0,36.0,411.0,745.0,12.861,41.0,16.0
one-two-three-v3_101.qasm,32.0,34.0,93.0,0.572,7.0,27.0,76.0,0.349,0.0,4.0,10.0,49.0,0.933,22.0,18.0,8.0,36.0,84.0,0.813,5.0,16.0
4mod5-v0_20.qasm,10.0,7.0,22.0,0.072,1.0,9.0,21.0,0.123,0.0,0.0,2.0,17.0,0.199,8.0,4.0,2.0,8.0,27.0,0.284,3.0,16.0
mod8-10_177.qasm,196.0,247.0,582.0,3.608,45.0,259.0,526.0,2.178,0.0,26.0,103.0,332.0,12.237,143.0,108.0,29.0,268.0,565.0,10.352,22.0,16.0
ising_model_13.qasm,120.0,0.0,41.0,1.152,0.0,37.0,86.0,1.532,0.0,4.0,0.0,41.0,2.743,39.0,32.0,0.0,109.0,162.0,2.153,1.0,16.0
sf_276.qasm,336.0,385.0,970.0,2.937,90.0,463.0,972.0,2.77,0.0,58.0,198.0,574.0,19.103,249.0,186.0,77.0,428.0,897.0,13.914,27.0,16.0
cm42a_207.qasm,771.0,1054.0,2199.0,6.872,208.0,1227.0,2165.0,6.156,0.0,66.0,590.0,1355.0,78.639,582.0,358.0,161.0,1508.0,2331.0,40.25,84.0,16.0
4gt12-v1_89.qasm,100.0,123.0,299.0,0.885,27.0,140.0,283.0,0.941,0.0,15.0,59.0,180.0,3.095,75.0,55.0,24.0,149.0,299.0,4.248,17.0,16.0
alu-v0_27.qasm,17.0,14.0,39.0,0.124,2.0,43.0,66.0,0.233,0.0,3.0,5.0,26.0,0.326,14.0,7.0,2.0,18.0,40.0,0.396,2.0,16.0
pm1_249.qasm,771.0,1037.0,2219.0,6.818,195.0,1168.0,2192.0,6.152,0.0,90.0,657.0,1538.0,72.473,558.0,382.0,126.0,1416.0,2261.0,38.897,91.0,16.0
mod5mils_65.qasm,16.0,14.0,46.0,0.152,4.0,12.0,39.0,0.173,0.0,2.0,13.0,37.0,0.5,15.0,6.0,3.0,21.0,42.0,0.319,0.0,16.0
mod10_171.qasm,108.0,119.0,288.0,0.956,17.0,121.0,275.0,0.914,0.0,10.0,26.0,156.0,3.901,79.0,60.0,20.0,172.0,324.0,4.464,23.0,16.0
ex1_226.qasm,5.0,6.0,11.0,0.032,0.0,4.0,9.0,0.088,0.0,0.0,4.0,9.0,0.066,4.0,1.0,0.0,7.0,12.0,0.15,0.0,16.0
ex-1_166.qasm,9.0,8.0,26.0,0.077,2.0,8.0,26.0,0.129,0.0,2.0,1.0,16.0,0.164,10.0,2.0,3.0,9.0,22.0,0.271,0.0,16.0
decod24-v1_41.qasm,38.0,37.0,102.0,0.404,7.0,34.0,102.0,0.373,0.0,8.0,19.0,75.0,0.971,26.0,24.0,8.0,34.0,99.0,0.879,5.0,16.0
4gt12-v0_88.qasm,86.0,91.0,252.0,0.802,25.0,118.0,221.0,0.761,0.0,10.0,62.0,157.0,2.931,69.0,39.0,14.0,107.0,232.0,3.092,12.0,16.0
rd53_138.qasm,60.0,69.0,135.0,0.732,19.0,89.0,137.0,0.481,0.0,4.0,39.0,100.0,6.276,33.0,23.0,12.0,70.0,123.0,1.972,5.0,16.0
4gt4-v0_79.qasm,105.0,110.0,285.0,1.057,24.0,145.0,278.0,1.375,0.0,13.0,81.0,212.0,6.226,72.0,60.0,18.0,128.0,286.0,5.005,20.0,16.0
alu-v3_34.qasm,24.0,25.0,69.0,0.29,6.0,31.0,66.0,0.305,0.0,3.0,6.0,40.0,0.683,20.0,10.0,7.0,24.0,65.0,0.65,3.0,16.0
qe_qft_5.qasm,38.0,-11.0,37.0,0.257,6.0,7.0,50.0,0.392,0.0,7.0,-15.0,31.0,0.785,26.0,25.0,8.0,-9.0,40.0,0.61,6.0,5.0
3_17_13.qasm,17.0,10.0,40.0,0.175,2.0,12.0,40.0,0.194,0.0,2.0,1.0,29.0,0.443,12.0,10.0,4.0,6.0,38.0,0.404,3.0,16.0
decod24-v3_45.qasm,64.0,70.0,185.0,0.721,15.0,78.0,183.0,0.743,0.0,10.0,26.0,106.0,3.968,54.0,30.0,11.0,57.0,164.0,2.747,9.0,16.0
4gt4-v0_80.qasm,79.0,82.0,230.0,0.944,25.0,110.0,209.0,0.77,0.0,6.0,46.0,146.0,4.239,58.0,43.0,12.0,125.0,240.0,4.618,14.0,16.0
mod8-10_178.qasm,152.0,195.0,440.0,1.596,33.0,185.0,388.0,1.387,0.0,14.0,75.0,253.0,8.347,113.0,80.0,24.0,208.0,426.0,8.868,16.0,16.0
hwb4_49.qasm,107.0,119.0,288.0,1.204,24.0,114.0,260.0,1.221,0.0,10.0,41.0,182.0,5.591,67.0,67.0,20.0,142.0,282.0,6.305,20.0,16.0
